PAYS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total,code
AFRIQUE DU SUD,0,0,0,0,0,1,0,0,0,0,0,9,4,7,5,3,1,4,34,AF
ALBANIE,5,4,3,2,3,5,4,2,3,1,2,4,3,2,7,1,1,0,52,AL
ANGOLA,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,AO
ARGENTINE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AR
ARMENIE,12,9,16,16,19,17,19,32,15,15,18,14,15,7,15,7,3,2,251,AM
AZERBAIDJAN,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,AZ
BANGLADESH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,BD
BELARUS,4,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,BY
BENIN,20,16,14,5,16,6,7,13,14,15,4,7,8,21,7,2,3,2,180,BJ
BHOUTAN,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,BT
BOLIVIE,16,10,33,32,26,13,12,10,11,6,7,1,0,0,0,0,0,0,177,BO
BOSNIE-HERZEGOVINE,0,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,6,BA
BRESIL,82,91,103,92,98,95,66,39,63,13,23,13,15,15,20,9,17,17,871,BR
BULGARIE,190,228,230,48,15,9,10,21,9,8,33,34,49,46,19,38,24,29,1040,BG
BURKINA-FASO,64,55,60,85,62,89,66,47,25,35,19,20,14,21,16,16,7,19,720,BF
BURUNDI,0,1,1,0,3,3,3,11,1,0,0,3,1,1,1,0,2,3,34,BI
CAMBODGE,31,199,60,6,9,28,26,20,19,2,7,3,0,4,0,0,0,0,414,KH
CAMEROUN,15,9,21,44,36,29,26,28,79,56,29,30,22,32,21,19,12,11,519,CM
CAP-VERT,5,5,2,1,7,1,5,4,8,6,1,12,8,7,0,0,0,0,72,CV
CHILI,15,7,14,15,12,11,7,8,10,4,7,22,4,12,8,18,11,9,194,CL,
CHINE,130,210,360,491,458,314,176,144,102,100,97,63,99,71,48,28,34,29,2954,CN
COLOMBIE,392,358,276,314,293,321,375,305,241,369,286,159,84,56,75,62,86,53,4105,CO
COMORES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,
CONGO,30,25,38,16,44,20,23,11,29,18,18,17,19,23,23,21,22,26,423
COREE DU SUD,73,57,46,42,38,18,13,9,10,6,6,4,2,3,1,2,6,6,342
COSTA RICA,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
COTE D'IVOIRE,33,30,10,25,27,26,54,67,68,75,29,34,49,45,62,43,40,45,762
CROATIE,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
CUBA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
DJIBOUTI,50,71,58,31,43,23,22,43,24,52,31,21,30,11,1,0,0,0,511
DOMINIQUE,0,1,3,6,10,9,7,2,0,0,3,5,1,3,4,8,2,1,65
EQUATEUR,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ESTONIE,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
ETATS-UNIS,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4
ETHIOPIE,234,209,217,390,397,408,417,484,445,352,288,220,140,52,24,10,19,2,4308
GABON,1,0,1,2,5,2,2,11,9,3,12,3,9,3,3,2,0,2,70
GAMBIE,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4
GEORGIE,4,9,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27
GHANA,0,1,0,2,0,2,1,3,2,2,1,1,3,0,1,0,1,2,22
GRECE,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
GUATEMALA,187,229,247,72,5,0,0,0,0,0,0,0,0,0,0,0,0,0,740
GUINEE,7,5,5,13,6,9,4,1,5,8,19,36,31,4,4,0,0,3,160
GUINEE BISSAU,0,0,0,0,0,0,1,1,2,0,1,0,4,0,0,0,0,0,9
GUINEE EQUAT.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
GUYANA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
HAITI,275,322,542,507,475,571,403,731,651,992,34,49,31,23,48,83,70,61,5868
HONDURAS,0,0,2,0,0,0,0,0,1,0,1,0,0,2,1,0,1,0,8
HONG-KONG,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
HONGRIE,3,15,13,7,3,7,10,1,4,5,4,1,0,3,0,0,6,10,92
